rnb1kbnr/pppp1ppp/4pq2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R,b,3,f6d8,150,Nc6,191
r1b1kbnr/pppp1ppp/2n1pq2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R,w,4,e2e4,191,e4,178
r1b1kbnr/pppp1ppp/2n1pq2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R,b,4,f8b4,178,e5,324
r1b1kbnr/pppp1ppp/2n2q2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R,w,5,c3d5,324,d5,205
r1b1kbnr/pppp1ppp/2n2q2/3Pp3/4P3/2N2N2/PPP2PPP/R1BQKB1R,b,5,c6b8,205,Nb4,317
r1b1kbnr/pppp1ppp/5q2/3Pp3/1n2P3/2N2N2/PPP2PPP/R1BQKB1R,w,6,c1g5,317,a3,308
r1b1kbnr/pppp1ppp/5q2/3Pp3/1n2P3/P1N2N2/1PP2PPP/R1BQKB1R,b,6,b4a6,308,Na6,303
rnbqkbnr/p2ppppp/1pp5/8/3PP3/5N2/PPP2PPP/RNBQKB1R,b,3,d7d6,117,d5,126
rnbqkbnr/p3pppp/1pp5/3p4/3PP3/5N2/PPP2PPP/RNBQKB1R,w,4,b1d2,126,exd5,123
rnbqkbnr/p3pppp/1pp5/3P4/3P4/5N2/PPP2PPP/RNBQKB1R,b,4,c6d5,123,cxd5,133
rnbqkbnr/p3pppp/1p6/3p4/3P4/5N2/PPP2PPP/RNBQKB1R,w,5,c2c4,133,Bb5+,98
rnbqkbnr/p3pppp/1p6/1B1p4/3P4/5N2/PPP2PPP/RNBQK2R,b,5,c8d7,98,Bd7,104
rn1qkbnr/p2bpppp/1p6/1B1p4/3P4/5N2/PPP2PPP/RNBQK2R,w,6,b5d3,104,Qe2,80
rn1qkbnr/p2bpppp/1p6/1B1p4/3P4/5N2/PPP1QPPP/RNB1K2R,b,6,e7e6,80,Nc6,217
rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR,b,3,c6c5,32,e6,93
rnbqkbnr/pp3ppp/2p1p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR,w,4,f1d3,93,Nf3,50
rnbqkbnr/pp3ppp/2p1p3/3pP3/3P4/5N2/PPP2PPP/RNBQKB1R,b,4,c6c5,50,Nd7,116
r1bqkbnr/pp1n1ppp/2p1p3/3pP3/3P4/5N2/PPP2PPP/RNBQKB1R,w,5,c2c3,116,Bf4,52
r1bqkbnr/pp1n1ppp/2p1p3/3pP3/3P1B2/5N2/PPP2PPP/RN1QKB1R,b,5,d8b6,52,Ne7,94
