fen_idx,fen,time,score_avg,elo_est,diff_max,diff_avg,depth_avg,nodes_avg,%_same_move
9,r1b1k2r/pp4pp/2pR1n2/4N3/5P2/2N5/PPP1B1PP/5nK1 w kq,0.2,-169.0,2200,24,5.0,22.0,241151,100.0
9,r1b1k2r/pp4pp/2pR1n2/4N3/5P2/2N5/PPP1B1PP/5nK1 w kq,1.0,-153.0,2500,35,9.0,25.0,1096817,100.0
9,r1b1k2r/pp4pp/2pR1n2/4N3/5P2/2N5/PPP1B1PP/5nK1 w kq,3.0,-166.0,2600,36,11.0,26,3169713,80.0
9,r1b1k2r/pp4pp/2pR1n2/4N3/5P2/2N5/PPP1B1PP/5nK1 w kq,20.0,-164.0,2900,33,6.0,32.0,18742411,90.0
12,r2qk2r/pp1nbppp/5n2/1N1p1bN1/P2PP2P/6P1/1PP3B1/R1BQ1RK1 b kq,0.2,223.0,1850,32,8.0,18.0,224993,100.0
12,r2qk2r/pp1nbppp/5n2/1N1p1bN1/P2PP2P/6P1/1PP3B1/R1BQ1RK1 b kq,1.0,266.0,2200,63,15.0,22.0,1098765,100.0
12,r2qk2r/pp1nbppp/5n2/1N1p1bN1/P2PP2P/6P1/1PP3B1/R1BQ1RK1 b kq,3.0,278.0,2600,43,12.0,26.0,3273867,100.0
12,r2qk2r/pp1nbppp/5n2/1N1p1bN1/P2PP2P/6P1/1PP3B1/R1BQ1RK1 b kq,20.0,288.0,2925,47,11.0,33.0,21253928,100.0
13,r2qk2r/pp1nbppp/5n2/1N3bN1/P2Pp2P/6P1/1PP3B1/R1BQ1RK1 w kq,0.2,814.0,1700,45,12.0,16.0,235096,100.0
13,r2qk2r/pp1nbppp/5n2/1N3bN1/P2Pp2P/6P1/1PP3B1/R1BQ1RK1 w kq,1.0,814.0,2200,40,11.0,22.0,1186593,100.0
13,r2qk2r/pp1nbppp/5n2/1N3bN1/P2Pp2P/6P1/1PP3B1/R1BQ1RK1 w kq,3.0,837.0,2500,29,8.0,25.0,3489552,100.0
13,r2qk2r/pp1nbppp/5n2/1N3bN1/P2Pp2P/6P1/1PP3B1/R1BQ1RK1 w kq,20.0,848,2825,50,13,29.0,22940054,100.0
14,r1b2rk1/pp1n1pp1/2n1q2p/4p3/Q1B5/4BN2/PPP2PPP/2KR3R b -,0.2,112,1625,58,16,15.0,236020,70.0
14,r1b2rk1/pp1n1pp1/2n1q2p/4p3/Q1B5/4BN2/PPP2PPP/2KR3R b -,1.0,112.0,2200,30,7.0,22.0,1170582,90.0
14,r1b2rk1/pp1n1pp1/2n1q2p/4p3/Q1B5/4BN2/PPP2PPP/2KR3R b -,3.0,109,2600,28,7.0,26.0,3292268,100.0
